Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
Pioneer Pointe 2BR Bi-Level Unit with Balcony (87 sqm) for Sale in Mandaluyong (Move-...,"Highway Hills, Mandaluyong",na,2,2,87,na,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-unit-with-balcony-87-sqm-for-sale-in-mandaluyong-move-in-for-as-low-as-php-320k.html
"ROSE (Bare 2-Storey End Unit) - Marytown Place, Sta. Maria Bulacan, 1.6M","Bulac, Santa Maria","1,600,000",1,na,46,57,14.83466,121.33919,https://www.lamudi.com.ph/rose-bare-2-storey-end-unit-marytown-place-sta-maria-bulacan-1-6m.html
"Studio Condo Unit for Sale in West Parc - Birch Building, Filinvest City, Alabang Mun...","Alabang, Muntinlupa","4,500,000",1,1,37,na,14.4179774,121.037608,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-west-parc-birch-building-filinvest-city-alabang-muntinlupa-37sqm.html
"5-Bedroom House and Lot (Amadea Model) for Sale in Suntrust Verona, Silang, Cavite","Lumil, Silang","9,268,000",5,na,179,176,14.183344,121.012375,https://www.lamudi.com.ph/5-bedroom-house-and-lot-amadea-model-for-sale-in-suntrust-verona-silang-cavite.html
"YURI 2BR 2-Storey Single Detached for Sale in Idesia Heights, Dasmarinas Cavite","San Agustin I, Dasmarinas","5,000,000",2,na,63,96,14.304975,120.944111,https://www.lamudi.com.ph/yuri-2br-2-storey-single-detached-for-sale-in-idesia-heights-dasmarinas-cavite.html
"Residential Unit (106-16) for Sale in UniPlace @ SWU Village, Cebu City","Sambag II, Cebu","2,810,000",1,1,24,na,10.3058395,123.8908567,https://www.lamudi.com.ph/residential-unit-106-16-for-sale-in-uniplace-swu-village-cebu-city.html
"ROSE (Bare 2-Storey Corner Unit) - Marytown Place, Sta. Maria Bulacan, 1.76M","Bulac, Santa Maria","1,760,000",1,na,46,77,14.83466,121.33919,https://www.lamudi.com.ph/rose-bare-2-storey-corner-unit-marytown-place-sta-maria-bulacan-1-76m.html
"RFO 1BR Unit (37.15 sqm) for Sale - The Trion Towers 3, BGC Taguig","McKinley Hill, Taguig","10,000,000",1,1,37,na,14.54595,121.0494,https://www.lamudi.com.ph/rfo-1br-unit-37-15-sqm-for-sale-the-trion-towers-3-bgc-taguig-1.html
"3BR Quadruplex (Kiara Townhouse Inner) for Sale in Suntrust Sentosa, Calamba, Laguna","Punta, Calamba","2,406,200",3,na,79,60,14.176345,121.122173,https://www.lamudi.com.ph/3br-quadruplex-kiara-townhouse-inner-for-sale-in-suntrust-sentosa-calamba-laguna.html
"ROSE (Bare 2-Storey Inner Unit) - Marytown Place, Sta. Maria Bulacan, 1.40M","Bulac, Santa Maria","1,400,000",1,na,46,40,14.83466,121.33919,https://www.lamudi.com.ph/rose-bare-2-storey-inner-unit-marytown-place-sta-maria-bulacan-1-40m.html
Residential Lot for Sale in Ajoya Pampanga (near NLEX-Mexico exit) - with Special Off...,"Eden, Mexico","1,900,000",na,na,na,121,15.125835,120.680386,https://www.lamudi.com.ph/residential-lot-for-sale-in-ajoya-pampanga-near-nlex-mexico-exit-with-special-offer.html
"3-Bedroom Unit for Sale in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City","6,709,716",3,2,46,na,14.646511,120.996952,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city.html
"Amaya Two Storey SD for Sale in Sentosa, Calamba Laguna","Punta, Calamba","7,032,800",4,na,149,176,14.176345,121.122173,https://www.lamudi.com.ph/amaya-two-storey-sd-for-sale-in-sentosa-calamba-laguna.html
"RFO 2-Bedroom Condo Unit for Sale in Asia Enclaves, Cupang, Muntinlupa City | 327-H","Cupang, Muntinlupa","5,446,700",2,1,58,na,14.434669,121.040194,https://www.lamudi.com.ph/rfo-2-bedroom-condo-unit-for-sale-in-asia-enclaves-cupang-muntinlupa-city-327-h.html
"2-Bedroom Unit for Sale in 88 Gibraltar Tower 2, Gibraltar, Baguio","Gibraltar, Baguio","6,853,000",2,1,43,na,16.419598,120.626852,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-88-gibraltar-tower-2-gibraltar-baguio.html
"2-Storey 4BR House and Lot (Luciana Model) for Sale in Siena Hills, Lipa City, Batang...","Antipolo del Sur, Lipa","8,381,730",4,na,174,176,13.91295t,121.185,https://www.lamudi.com.ph/2-storey-4br-house-and-lot-luciana-model-for-sale-in-siena-hills-lipa-city-batangas.html
2-Bedroom Single Attached House and Lot for Sale in Ajoya Pampanga (Mexico) - with Sp...,"Eden, Mexico","3,100,000",2,na,59,88,15.125835,120.680386,https://www.lamudi.com.ph/2-bedroom-single-attached-house-and-lot-for-sale-in-ajoya-pampanga-mexico-with-special-offer.html
Grand View Tower - Studio Unit (21 sqm) for Sale in Pasay City,"Libertad, Pasay","4,500,000",1,1,21,na,14.547436,120.998485,https://www.lamudi.com.ph/grand-view-tower-studio-unit-21-sqm-for-sale-in-pasay-city.html
"Studio Unit for Sale in Suntrust Amadea - Tower 2, Quezon City","Paligsahan, Quezon City","3,040,080",1,1,24,na,14.646511,120.996952,https://www.lamudi.com.ph/studio-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city.html
"3-Bedroom House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pamp...","Manibaug Paralaya, Porac","2,643,963",3,na,62,50,15.119767,120.560714,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-andorra-inner-unit-complete.html
"3BR Bungalow House and Lot (Angelica Model) for Sale in Siena Hills, Lipa City, Batan...","Antipolo del Sur, Lipa","5,036,925",3,na,67,150,13.91295t,121.185,https://www.lamudi.com.ph/3br-bungalow-house-and-lot-angelica-model-for-sale-in-siena-hills-lipa-city-batangas.html
