Description,Location,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Latitude,Longitude,Link
"La Vida Tower B, 1-Bedroom Unit (56.75 sqm) for Sale in Pasay City","F.B Harisson, Pasay","7,392,000",1,1,56,na,14.55323,120.990226,https://www.lamudi.com.ph/la-vida-tower-b-1-bedroom-unit-56-75-sqm-for-sale-in-pasay-city.html
Pre-Selling 1-Bedroom Unit (67 sqm) at The Residences At The Westin Manila Sonata Pla...,"Ortigas CBD, Pasig","17,003,470",1,1,67,na,14.5808822,121.05885,https://www.lamudi.com.ph/pre-selling-1-bedroom-unit-67-sqm-at-the-residences-at-the-westin-manila-sonata-place-in-ortigas-cbd-pasig-1.html
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City","14,612,268",2,2,67,na,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-14g.html
Cityland Pioneer Heights 1 - Studio Unit (24.9 sqm) for Sale in Mandaluyong City,"Highway Hills, Mandaluyong","2,683,702",1,1,24,na,14.578255,121.052143,https://www.lamudi.com.ph/cityland-pioneer-heights-1-studio-unit-24-9-sqm-for-sale-in-mandaluyong-city.html
"Bi-level Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong |33U","Wack-Wack Greenhills, Mandaluyong","30,900,184",1,1,121,na,14.592173,121.053333,https://www.lamudi.com.ph/bi-level-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-33u.html
"2-Bedroom Unit (2620) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","26,748,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-2620-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"The Levels Burbank Tower, 3BR Unit for Sale in Alabang (for as low as Php 30,000 mont...","Alabang, Muntinlupa",na,3,2,72,na,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-3br-unit-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html
"Offices at The Galleon - Prime Unit (35M) for Sale in Ortigas, Pasig","San Antonio, Pasig","33,345,000",na,na,95,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-35m-for-sale-in-ortigas-pasig.html
"Studio (2719) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,455,000",1,na,34,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-2719-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Serena","Palo-Alto, Calamba","5,400,000",4,na,83,110,14.188482,121.109967,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-in-san-francisco-heights-calamba-serena.html
"2-Storey 4BR House and Lot (Orabella Model) for Sale in Siena Hills, Lipa City, Batan...","Antipolo del Sur, Lipa","7,860,710",4,na,147,176,13.91295t,121.185,https://www.lamudi.com.ph/2-storey-4br-house-and-lot-orabella-model-for-sale-in-siena-hills-lipa-city-batangas.html
"Studio Condo Unit (11I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","6,996,073",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-11i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"RFO 3-Bedroom Unit 26B1 for Sale in 1322 Roxas Boulevard, Manila","Roxas Boulevard, Manila",na,3,5,187,na,14.551476,120.9895887,https://www.lamudi.com.ph/rfo-3-bedroom-unit-26b1-for-sale-in-1322-roxas-boulevard-manila.html
"Pre-Selling 1BR Unit in The Sapphire Bloc South Tower, Ortigas CBD Pasig, 10.6M","Ortigas CBD, Pasig","10,600,000",1,1,na,na,14.587518,121.062753,https://www.lamudi.com.ph/pre-selling-1br-unit-in-the-sapphire-bloc-south-tower-ortigas-cbd-pasig-10-6m.html
"3-Bedroom Unit for Sale in Suntrust Asmara Tower 3, New Manila, Quezon City","New Manila, Quezon City","7,700,000",3,2,56,na,14.621176,121.022808,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-suntrust-asmara-tower-3-new-manila-quezon-city.html
"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -ALEXANDRA Mo...","San Sebastian, Kawit","7,410,000",4,na,100,120,14.4185112,120.898962,https://www.lamudi.com.ph/4-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-kawit-cavite-alexandra-model.html
"GAIA 2-Storey Single Detached (Irr-Corner) for Sale in Idesia Lipa, Batangas","Inosloban, Lipa","6,600,000",3,na,63,137,13.9775271,121.1701226,https://www.lamudi.com.ph/gaia-2-storey-single-detached-irr-corner-for-sale-in-idesia-lipa-batangas.html
"Studio Condo Unit (6I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,324,373",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-6i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"2BR Condo Unit for Sale in Ibiza Tower at Circulo Verde, Bagumbayan, Quezon City | Un...","Bagumbayan, Quezon City","14,278,110",2,2,67,na,14.605396,121.081903,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-ibiza-tower-at-circulo-verde-bagumbayan-quezon-city-unit-6h.html
Studio Unit (22 sqm) for Sale in Moldex Residences Silang Cavite near Dasmarinas,"Biluso, Silang","2,100,000",1,1,22,na,14.247941,120.952854,https://www.lamudi.com.ph/studio-unit-22-sqm-for-sale-in-moldex-residences-silang-cavite-near-dasmarinas.html
"3-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan","4,200,000",3,na,72,92,15.47877,120.995348,https://www.lamudi.com.ph/3-bedroom-single-attached-house-and-lot-for-sale-in-ajoya-cabanatuan-nueva-ecija-with-special-offer.html
"2-Bedroom Unit (2909) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","25,471,000",2,na,89,na,14.588882,121.079016,https://www.lamudi.com.ph/2-bedroom-unit-2909-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"Pre-selling 3BR 4-Storey Townhouse for Sale in Likha Residences, Cupang, Muntinlupa |...","Cupang, Muntinlupa","39,675,000",3,na,323,90,14.434669,121.040194,https://www.lamudi.com.ph/pre-selling-3br-4-storey-townhouse-for-sale-in-likha-residences-cupang-muntinlupa-end-unit-elevated-garden.html
"10,668 sqm Industrial Lot for Sale in Pampanga Technopark - Mabalacat, Pampanga","Tabun, Mabalacat","95,585,280",na,na,na,10668,15.25276,120.594401,https://www.lamudi.com.ph/10-668-sqm-industrial-lot-for-sale-in-pampanga-technopark-mabalacat-pampanga.html
"3-Bedroom Unit (N10C) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","23,982,600",3,2,108,na,14.583771,121.059675,https://www.lamudi.com.ph/3-bedroom-unit-n10c-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Pre-Selling Studio Unit (22 sqm) in Sierra Valley Gardens 1, Cainta, Rizal","San Juan, Cainta","3,740,000",1,1,22,na,14.583362,121.130727,https://www.lamudi.com.ph/pre-selling-studio-unit-22-sqm-in-sierra-valley-gardens-1-cainta-rizal.html
Pioneer Pointe 2BR Bi-Level Fully Furnished Unit (73 sqm) in Mandaluyong (Move-in for...,"Highway Hills, Mandaluyong",na,2,2,73,na,14.578255,121.052143,https://www.lamudi.com.ph/pioneer-pointe-2br-bi-level-fully-furnished-unit-73-sqm-in-mandaluyong-move-in-for-as-low-as-php-320k.html
"The Levels Burbank Tower, 1BR Unit for Sale in Alabang (for as low as Php 30,000 mont...","Alabang, Muntinlupa",na,1,1,49,na,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-1br-unit-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html
"Pre-Selling 1BR Unit (35.68 sqm) in Acacia Escalades B, Pasig City","Manggahan, Pasig","4,800,000",1,1,35,na,14.601887,121.093698,https://www.lamudi.com.ph/pre-selling-1br-unit-35-68-sqm-in-acacia-escalades-b-pasig-city-1.html
The Gentri Heights: Kirana 2-Storey House for Sale in General Trias Cavite,"Manggahan, General Trias","4,730,620",3,na,82,98,14.296605,120.904361,https://www.lamudi.com.ph/the-gentri-heights-kirana-2-storey-house-for-sale-in-general-trias-cavite.html
"3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with...","Bugtong Na Pulo, Lipa","4,700,000",3,na,93,108,14.0042716,121.1705877,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite","Carsadang Bago I, Imus","5,234,791",3,na,75,80,14.4234269,120.9289746,https://www.lamudi.com.ph/3-bedroom-single-attached-house-and-lot-for-sale-at-ptc-suncrest-in-imus-cavite.html
"Grand View Tower, 2-Bedroom (66 sqm) Condo for Sale near Mall of Asia, Pasay","Libertad, Pasay","15,500,000",2,2,66,na,14.547436,120.998485,https://www.lamudi.com.ph/grand-view-tower-2-bedroom-66-sqm-condo-for-sale-near-mall-of-asia-pasay.html
"ARIA Townhouse (End) for Sale in Idesia Lipa, Batangas","Inosloban, Lipa","3,600,000",2,na,42,90,13.9775271,121.1701226,https://www.lamudi.com.ph/aria-townhouse-end-for-sale-in-idesia-lipa-batangas.html
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -GABRIELLE Mo...","San Sebastian, Kawit","6,650,000",3,na,84,120,14.4185112,120.898962,https://www.lamudi.com.ph/3-bedroom-house-and-lot-for-sale-at-lancaster-new-city-in-kawit-cavite-gabrielle-model.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model","San Sebastian, Kawit","2,395,000",3,na,60,50,14.4185112,120.898962,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-thea-model.html
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...","Ma-A, Davao","8,645,982",2,2,77,na,7.0867489,125.5840299,https://www.lamudi.com.ph/for-sale-2br-condo-unit-with-balcony-in-legacy-leisure-residences-ma-a-davao-city-77-2-sqm.html
"1BR Condo Unit with Balcony for Sale in Legacy Leisure Residences, Ma-a, Davao City","Ma-A, Davao","4,206,258",1,1,36,na,7.0867489,125.5840299,https://www.lamudi.com.ph/1br-condo-unit-with-balcony-for-sale-in-legacy-leisure-residences-ma-a-davao-city.html
"2BR Condo Unit with Balcony for Sale in Legacy Leisure Residences, Ma-a, Davao City |...","Ma-A, Davao","8,645,982",2,2,77,na,7.0867489,125.5840299,https://www.lamudi.com.ph/2br-condo-unit-with-balcony-for-sale-in-legacy-leisure-residences-ma-a-davao-city-77-2-sqm.html
"2-Bedroom Unit (36H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","42,217,000",2,2,114,na,14.588377,121.059897,https://www.lamudi.com.ph/2-bedroom-unit-36h-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"2-Bedroom Unit for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","10,000,000",2,2,68,na,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city.html
"Pre-Selling 2-Bedroom Unit in Acacia Escalades B, Pasig City","Manggahan, Pasig","5,700,000",2,na,na,na,14.601887,121.093698,https://www.lamudi.com.ph/pre-selling-2-bedroom-unit-in-acacia-escalades-b-pasig-city.html
"For Sale The Magnolia Residences 1BR, 1 Toilet & Bath in New Manila Quezon City","New Manila, Quezon City","8,125,190",1,1,38,na,14.61633,121.0306,https://www.lamudi.com.ph/for-sale-the-magnolia-residences-1br-1-toilet-bath-in-new-manila-quezon-city.html
"1-Bedroom Unit (S35D1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,054,400",1,1,47,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s35d1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Loft Unit for Sale in AMA Tower Residences, Wack-Wack Greenhills Mandaluyong|32J","Wack-Wack Greenhills, Mandaluyong","16,088,526",1,1,63,na,14.592173,121.053333,https://www.lamudi.com.ph/loft-unit-for-sale-in-ama-tower-residences-wack-wack-greenhills-mandaluyong-32j.html
"3-Bedroom Unit (S03D) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","22,111,600",3,2,98,na,14.583771,121.059675,https://www.lamudi.com.ph/3-bedroom-unit-s03d-for-sale-in-maven-at-capitol-commons-pasig-city.html
"For Sale: Studio Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig","3,297,501",1,1,27,na,14.555535,121.090095,https://www.lamudi.com.ph/for-sale-studio-unit-in-suntrust-kirana-pasig-city.html
"2-Bedroom Townhouse for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Rosario...","Banaybanay II, San Jose","2,500,000",2,na,48,50,13.9179,121.102657,https://www.lamudi.com.ph/2-bedroom-townhouse-for-sale-at-phinma-maayo-san-jose-in-san-jose-batangas-rosario-model.html
"3BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 7.1M","Paligsahan, Quezon City","7,123,896",3,2,46,na,14.631613,121.023475,https://www.lamudi.com.ph/3br-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city-7-1m.html
"2-Bedroom Condo Unit (29C) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Mani...","Highway Hills, Mandaluyong","16,806,000",2,2,84,na,14.578255,121.052143,https://www.lamudi.com.ph/2-bedroom-condo-unit-29c-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"2BR Condo Unit with Balcony for Sale in Legacy Leisure Residences, Ma-a, Davao City |...","Ma-A, Davao","8,535,732",2,2,76,na,7.0867489,125.5840299,https://www.lamudi.com.ph/2br-condo-unit-with-balcony-for-sale-in-legacy-leisure-residences-ma-a-davao-city-76-35-sqm.html
Moldex Residences Valenzuela Bali Bldg - 1BR Condo for Sale in Valenzuela City,"Paso de Blas, Valenzuela","2,050,000",1,1,21,na,14.7049986,120.98518,https://www.lamudi.com.ph/moldex-residences-valenzuela-bali-bldg-1br-condo-for-sale-in-valenzuela-city.html
"Condominium with 2 bedroom for Sale in Suntrust Asmara, New Manila, Quezon City","New Manila, Quezon City","6,785,600",2,1,39,na,14.621176,121.022808,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-suntrust-asmara-new-manila-quezon-city.html
"1BR Condo Unit for Sale in AMA Tower Residences, Wack-Wack Mandaluyong City | 5E","Wack-Wack Greenhills, Mandaluyong","6,423,156",1,1,27,na,14.592173,121.053333,https://www.lamudi.com.ph/1br-condo-unit-for-sale-in-ama-tower-residences-wack-wack-mandaluyong-city-5e.html
"Studio Condo Unit (24I) for Sale in One Sierra, EDSA, Mandaluyong City, Metro Manila","Highway Hills, Mandaluyong","7,055,167",1,1,32,na,14.578255,121.052143,https://www.lamudi.com.ph/studio-condo-unit-24i-for-sale-in-one-sierra-edsa-mandaluyong-city-metro-manila.html
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Premium","Lumil, Silang","4,956,000",3,na,93,88,14.183344,121.012375,https://www.lamudi.com.ph/house-and-lot-with-3-bedroom-for-sale-in-verona-lumil-silang-mariella-premium.html
"2BR Unit for Sale in Suntrust Amadea Tower 1, Quezon City, 4.8M","Paligsahan, Quezon City","4,842,720",2,1,36,na,14.631613,121.023475,https://www.lamudi.com.ph/2br-unit-for-sale-in-suntrust-amadea-tower-1-quezon-city-4-8m.html
"Studio - Furnished Condo Unit for Sale in The Persimmon Studios, Cebu City - with Spe...","Mabolo, Cebu","3,800,000",1,1,24,na,10.31581,123.918231,https://www.lamudi.com.ph/studio-furnished-condo-unit-for-sale-in-the-persimmon-studios-cebu-city-with-special-offer.html
"Studio Condo Unit for Sale in West Parc - Birch Building, Filinvest City, Alabang Mun...","Alabang, Muntinlupa","6,000,000",1,1,39,na,14.4179774,121.037608,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-west-parc-birch-building-filinvest-city-alabang-muntinlupa-39sqm.html
"Lot for Sale in Priveya Hills, Mandaue, Cebu - with Special Offer","Tawason, Mandaue","13,400,000",na,na,na,661,10.38246,123.925415,https://www.lamudi.com.ph/lot-for-sale-in-priveya-hills-mandaue-cebu-with-special-offer.html
"Arezzo Place Davao - Studio for Sale in Sasa, Davao","Sasa, Davao","2,950,000",1,1,30,na,7.128006,125.648968,https://www.lamudi.com.ph/arezzo-place-davao-studio-for-sale-in-sasa-davao-549761-84.html
"The Levels Burbank Tower, 1BR Unit for Sale in Alabang (for as low as Php 30,000 mont...","Alabang, Muntinlupa",na,1,1,49,na,14.4179774,121.037608,https://www.lamudi.com.ph/the-levels-burbank-tower-1br-unit-for-sale-in-alabang-for-as-low-as-php-30-000-monthly.html
"Pre-Selling Studio Unit in The Sapphire Bloc South Tower, Ortigas CBD, Pasig","Ortigas CBD, Pasig","6,570,000",1,1,na,na,14.587518,121.062753,https://www.lamudi.com.ph/pre-selling-studio-unit-in-the-sapphire-bloc-south-tower-ortigas-cbd-pasig.html
"3-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -THEA Model","San Sebastian, Kawit","2,395,000",3,na,60,50,14.4185112,120.898962,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-at-lancaster-new-city-in-kawit-cavite-thea-model.html
"3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite","Carsadang Bago I, Imus","5,234,791",3,na,75,80,14.4234269,120.9289746,https://www.lamudi.com.ph/3-bedroom-single-attached-house-and-lot-for-sale-at-ptc-suncrest-in-imus-cavite.html
"Grand View Tower, 2-Bedroom (66 sqm) Condo for Sale near Mall of Asia, Pasay","Libertad, Pasay","15,500,000",2,2,66,na,14.547436,120.998485,https://www.lamudi.com.ph/grand-view-tower-2-bedroom-66-sqm-condo-for-sale-near-mall-of-asia-pasay.html
"3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with...","Bugtong Na Pulo, Lipa","4,700,000",3,na,93,108,14.0042716,121.1705877,https://www.lamudi.com.ph/3-bedroom-townhouse-for-sale-in-the-villages-at-lipa-sierra-village-batangas-with-special-offer.html
"For Sale: 2BR Condo Unit with Balcony in Legacy Leisure Residences, Ma-a, Davao City ...","Ma-A, Davao","8,645,982",2,2,77,na,7.0867489,125.5840299,https://www.lamudi.com.ph/for-sale-2br-condo-unit-with-balcony-in-legacy-leisure-residences-ma-a-davao-city-77-2-sqm.html
"2-Bedroom Unit for Sale in Suntrust Capitol Plaza, Diliman, Quezon City","Diliman, Quezon City","10,000,000",2,2,68,na,14.644874,121.050593,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-suntrust-capitol-plaza-diliman-quezon-city.html
"1BR Condo Unit with Balcony for Sale in Legacy Leisure Residences, Ma-a, Davao City","Ma-A, Davao","4,206,258",1,1,36,na,7.0867489,125.5840299,https://www.lamudi.com.ph/1br-condo-unit-with-balcony-for-sale-in-legacy-leisure-residences-ma-a-davao-city.html
"2-Bedroom Unit (36H) - Residences at The Galleon (Pre-selling) in Ortigas CBD, Pasig","San Antonio, Pasig","42,217,000",2,2,114,na,14.588377,121.059897,https://www.lamudi.com.ph/2-bedroom-unit-36h-residences-at-the-galleon-pre-selling-in-ortigas-cbd-pasig.html
"For Sale The Magnolia Residences 1BR, 1 Toilet & Bath in New Manila Quezon City","New Manila, Quezon City","8,125,190",1,1,38,na,14.61633,121.0306,https://www.lamudi.com.ph/for-sale-the-magnolia-residences-1br-1-toilet-bath-in-new-manila-quezon-city.html
"2BR Condo Unit with Balcony for Sale in Legacy Leisure Residences, Ma-a, Davao City |...","Ma-A, Davao","8,645,982",2,2,77,na,7.0867489,125.5840299,https://www.lamudi.com.ph/2br-condo-unit-with-balcony-for-sale-in-legacy-leisure-residences-ma-a-davao-city-77-2-sqm.html
"3-Bedroom Unit (S03D) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","22,111,600",3,2,98,na,14.583771,121.059675,https://www.lamudi.com.ph/3-bedroom-unit-s03d-for-sale-in-maven-at-capitol-commons-pasig-city.html
"1-Bedroom Unit (S35D1) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","11,054,400",1,1,47,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s35d1-for-sale-in-maven-at-capitol-commons-pasig-city.html
"3BR Unit for Sale in Suntrust Amadea Tower 2, Quezon City, 7.1M","Paligsahan, Quezon City","7,123,896",3,2,46,na,14.631613,121.023475,https://www.lamudi.com.ph/3br-unit-for-sale-in-suntrust-amadea-tower-2-quezon-city-7-1m.html
"For Sale: Studio Unit in Suntrust Kirana, Pasig City","Pinagbuhatan, Pasig","3,297,501",1,1,27,na,14.555535,121.090095,https://www.lamudi.com.ph/for-sale-studio-unit-in-suntrust-kirana-pasig-city.html
"Pre-Selling 2-Bedroom Unit in Acacia Escalades B, Pasig City","Manggahan, Pasig","5,700,000",2,na,na,na,14.601887,121.093698,https://www.lamudi.com.ph/pre-selling-2-bedroom-unit-in-acacia-escalades-b-pasig-city.html
"Loft Unit for Sale in AMA Tower Residences, Wack-Wack Greenhills Mandaluyong|32J","Wack-Wack Greenhills, Mandaluyong","16,088,526",1,1,63,na,14.592173,121.053333,https://www.lamudi.com.ph/loft-unit-for-sale-in-ama-tower-residences-wack-wack-greenhills-mandaluyong-32j.html
"2-Bedroom Unit for Sale in One Lakeshore Drive, San Antonio, Davao - Tower 3","San Antonio, Davao","10,760,000",2,2,76,na,7.095857,125.630475,https://www.lamudi.com.ph/2-bedroom-unit-for-sale-in-one-lakeshore-drive-san-antonio-davao-tower-3.html
"Duplex House and Lot Side by Side Roadside for Sale in Ajoya Capas, Tarlac - with Spe...","Talaga, Capas","2,800,000",na,na,66,79,15.38115,120.590541,https://www.lamudi.com.ph/duplex-house-and-lot-side-by-side-roadside-for-sale-in-ajoya-capas-tarlac-with-special-offer.html
"Single Detached Bungalow House (Aeon Combined) for Sale in Suntrust Sentosa, Calamba,...","Punta, Calamba","3,124,880",2,na,71,120,14.176345,121.122173,https://www.lamudi.com.ph/single-detached-bungalow-house-aeon-combined-for-sale-in-suntrust-sentosa-calamba-laguna.html
"Lot for Sale in Priveya Hills, Mandaue, Cebu - with Special Offer","Tawason, Mandaue","13,400,000",na,na,na,661,10.38246,123.925415,https://www.lamudi.com.ph/lot-for-sale-in-priveya-hills-mandaue-cebu-with-special-offer.html
"Condominium with 3 bedroom for Sale in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City","7,802,700",3,2,54,na,14.68155,121.0198,https://www.lamudi.com.ph/condominium-with-3-bedroom-for-sale-in-suntrust-shanata-novaliches-quezon-city.html
"2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - w...","Valle Cruz, Cabanatuan","3,800,000",2,na,74,88,15.47877,120.995348,https://www.lamudi.com.ph/2-bedroom-single-attached-house-and-lot-for-sale-in-ajoya-cabanatuan-nueva-ecija-with-special-offer.html
2-Storey 4BR Single Detached House and Lot (Washington Model) for Sale in Washington ...,"Sampaloc II, Dasmarinas","9,614,253",4,na,103,168,14.287385,120.964753,https://www.lamudi.com.ph/2-storey-4br-single-detached-house-and-lot-washington-model-for-sale-in-washington-place-dasmarinas-cavite.html
"3-Bedroom Unit for Sale in Suntrust Asmara Tower 1, New Manila, Quezon City","New Manila, Quezon City","8,229,500",3,2,53,na,14.621176,121.022808,https://www.lamudi.com.ph/3-bedroom-unit-for-sale-in-suntrust-asmara-tower-1-new-manila-quezon-city.html
Pre-Selling 2BR (126.1 sqm) at The Residences At The Westin Manila Sonata Place,"Ortigas CBD, Pasig","31,083,715",2,na,126,na,14.5808822,121.05885,https://www.lamudi.com.ph/pre-selling-2br-126-1-sqm-at-the-residences-at-the-westin-manila-sonata-place-1.html
"2-Bedroom Unit (55F) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","39,655,000",2,2,110,na,14.575822,121.064324,https://www.lamudi.com.ph/2-bedroom-unit-55f-for-sale-in-empress-at-capitol-commons-pasig-city.html
"4-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ADELLE Model","Alapan II-A, Imus","2,671,400",4,na,70,60,14.4084872,120.9062254,https://www.lamudi.com.ph/4-bedroom-townhouse-for-sale-at-lancaster-new-city-in-imus-cavite-adelle-model.html
Pre-Selling 2BR (160.17 sqm) at The Residences At The Westin Manila Sonata Place,"Ortigas CBD, Pasig","41,479,493",2,na,160,na,14.5808822,121.05885,https://www.lamudi.com.ph/pre-selling-2br-160-17-sqm-at-the-residences-at-the-westin-manila-sonata-place-1.html
"RFO 1BR Unit (43.24 sqm) for Sale - The Trion Towers 3, BGC Taguig","McKinley Hill, Taguig","13,900,000",1,1,43,na,14.54595,121.0494,https://www.lamudi.com.ph/rfo-1br-unit-43-24-sqm-for-sale-the-trion-towers-3-bgc-taguig-1.html
"1BR Condo Unit for Sale at Camella Manors Bacolod in Mandalagan, Bacolod City | RFO","Mandalagan, Bacolod","4,926,000",1,1,30,na,10.6877926,122.9747478,https://www.lamudi.com.ph/1br-condo-unit-for-sale-at-camella-manors-bacolod-in-mandalagan-bacolod-city-rfo.html
"Studio Unit (51G) for Sale in Empress at Capitol Commons, Pasig City","Oranbo, Pasig","10,800,000",1,1,34,na,14.575421,121.063867,https://www.lamudi.com.ph/studio-unit-51g-for-sale-in-empress-at-capitol-commons-pasig-city.html
"Offices at The Galleon - Prime Unit (10J) for Sale in Ortigas, Pasig","San Antonio, Pasig","31,218,000",na,na,93,na,14.588716,121.060009,https://www.lamudi.com.ph/offices-at-the-galleon-prime-unit-10j-for-sale-in-ortigas-pasig.html
"1-Bedroom Unit for Sale in 88 Gibraltar Tower 1, Gibraltar, Baguio","Gibraltar, Baguio","6,577,000",1,1,34,na,16.419598,120.626852,https://www.lamudi.com.ph/1-bedroom-unit-for-sale-in-88-gibraltar-tower-1-gibraltar-baguio.html
4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles...,"Manibaug Paralaya, Porac","8,215,525",4,na,144,154,15.119767,120.560714,https://www.lamudi.com.ph/4-bedroom-single-detached-house-and-lot-for-sale-in-the-arcadia-boundary-of-angeles-and-porac-pampanga-adelaide-model.html
"Studio (3917) for Sale in Maple at Verdant Towers, Ortigas, Pasig City","Ugong, Pasig","8,872,000",1,na,35,na,14.588882,121.079016,https://www.lamudi.com.ph/studio-3917-for-sale-in-maple-at-verdant-towers-ortigas-pasig-city.html
"1-Bedroom Unit (S47F) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","12,925,800",1,1,50,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-s47f-for-sale-in-maven-at-capitol-commons-pasig-city.html
"Condominium with 2 bedroom for Sale in Suntrust Shanata, Novaliches, Quezon City","Novaliches, Quezon City","6,363,100",2,1,35,na,14.68155,121.0198,https://www.lamudi.com.ph/condominium-with-2-bedroom-for-sale-in-suntrust-shanata-novaliches-quezon-city-3.html
"1-Bedroom Unit (N16E2) for Sale in Maven at Capitol Commons, Pasig City","Ortigas CBD, Pasig","10,908,800",1,1,51,na,14.583771,121.059675,https://www.lamudi.com.ph/1-bedroom-unit-n16e2-for-sale-in-maven-at-capitol-commons-pasig-city.html
